label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Acanthis cabaret_Lesser Redpoll","Acanthis cabaret","Lesser Redpoll","Acanthis flammea cabaret","Redpoll (Lesser)","lesred1","lesred1","name changed upstream"
"Acanthis flammea_Common Redpoll","Acanthis flammea","Common Redpoll","Acanthis flammea flammea/rostrata/islandica","Redpoll (Common)","comred","comred","name changed upstream"
"Acanthis hornemanni_Hoary Redpoll","Acanthis hornemanni","Hoary Redpoll","Acanthis flammea hornemanni/exilipes","Redpoll (Hoary)","hoared","hoared","name changed upstream"
"Accipiter badius_Shikra","Accipiter badius","Shikra","Tachyspiza badia","Shikra","shikra1","shikra1","name changed upstream"
"Accipiter bicolor_Bicolored Hawk","Accipiter bicolor","Bicolored Hawk","Astur bicolor","Bicolored Hawk","bichaw1","bichaw1","name changed upstream"
"Accipiter cirrocephalus_Collared Sparrowhawk","Accipiter cirrocephalus","Collared Sparrowhawk","Tachyspiza cirrocephala","Collared Sparrowhawk","colspa1","colspa1","name changed upstream"
"Accipiter cooperii_Cooper's Hawk","Accipiter cooperii","Cooper's Hawk","Astur cooperii","Cooper's Hawk","coohaw","coohaw","name changed upstream"
"Accipiter fasciatus_Brown Goshawk","Accipiter fasciatus","Brown Goshawk","Tachyspiza fasciata","Brown Goshawk","brogos1","brogos1","name changed upstream"
"Accipiter gentilis_Northern Goshawk","Accipiter gentilis","Northern Goshawk","Astur atricapillus","American Goshawk","norgos","norgos","name changed upstream"
"Accipiter gularis_Japanese Sparrowhawk","Accipiter gularis","Japanese Sparrowhawk","Tachyspiza gularis","Japanese Sparrowhawk","japspa1","japspa1","name changed upstream"
"Accipiter hiogaster_Variable Goshawk","Accipiter hiogaster","Variable Goshawk","Tachyspiza hiogaster","Variable Goshawk","vargos1","vargos1","name changed upstream"
"Accipiter melanoleucus_Black Goshawk","Accipiter melanoleucus","Black Goshawk","Astur melanoleucus","Black Goshawk","blagos1","blagos1","name changed upstream"
"Accipiter minullus_Little Sparrowhawk","Accipiter minullus","Little Sparrowhawk","Tachyspiza minulla","Little Sparrowhawk","litspa1","litspa1","name changed upstream"
"Accipiter novaehollandiae_Gray Goshawk","Accipiter novaehollandiae","Gray Goshawk","Tachyspiza novaehollandiae","Gray Goshawk","grygos1","grygos1","name changed upstream"
"Accipiter soloensis_Chinese Sparrowhawk","Accipiter soloensis","Chinese Sparrowhawk","Tachyspiza soloensis","Chinese Sparrowhawk","grfhaw1","grfhaw1","name changed upstream"
"Accipiter superciliosus_Tiny Hawk","Accipiter superciliosus","Tiny Hawk","Microspizias superciliosus","Tiny Hawk","tinhaw1","tinhaw1","name changed upstream"
"Accipiter tachiro_African Goshawk","Accipiter tachiro","African Goshawk","Aerospiza tachiro","African Goshawk","afrgos1","afrgos1","name changed upstream"
"Accipiter trinotatus_Spot-tailed Goshawk","Accipiter trinotatus","Spot-tailed Goshawk","Tachyspiza trinotata","Spot-tailed Goshawk","sptgos1","sptgos1","name changed upstream"
"Accipiter trivirgatus_Crested Goshawk","Accipiter trivirgatus","Crested Goshawk","Lophospiza trivirgata","Crested Goshawk","cregos1","cregos1","name changed upstream"
"Accipiter virgatus_Besra","Accipiter virgatus","Besra","Tachyspiza virgata","Besra","besra1","besra1","name changed upstream"
"Acridotheres burmannicus_Vinous-breasted Starling","Acridotheres burmannicus","Vinous-breasted Starling","Acridotheres burmannicus/leucocephalus","Burmese/Vinous-breasted Myna","vibsta3","vibsta3","name changed upstream"
"Acrocephalus baeticatus_African Reed Warbler","Acrocephalus baeticatus","African Reed Warbler","Acrocephalus scirpaceus [baeticatus Group]","Common Reed Warbler (African)","afrwar1","afrwar1","name changed upstream"
"Acrocephalus scirpaceus_Eurasian Reed Warbler","Acrocephalus scirpaceus","Eurasian Reed Warbler","Acrocephalus scirpaceus","Common Reed Warbler","eurwar1","eurwar1","name changed upstream"
"Alophoixus finschii_Finsch's Bulbul","Alophoixus finschii","Finsch's Bulbul","Iole finschii","Finsch's Bulbul","finbul1","finbul1","name changed upstream"
"Amazona aestiva_Turquoise-fronted Parrot","Amazona aestiva","Turquoise-fronted Parrot","Amazona aestiva","Turquoise-fronted Amazon","bufpar","bufpar","name changed upstream"
"Amazona agilis_Black-billed Parrot","Amazona agilis","Black-billed Parrot","Amazona agilis","Black-billed Amazon","blbpar1","blbpar1","name changed upstream"
"Amazona albifrons_White-fronted Parrot","Amazona albifrons","White-fronted Parrot","Amazona albifrons","White-fronted Amazon","whfpar1","whfpar1","name changed upstream"
"Amazona amazonica_Orange-winged Parrot","Amazona amazonica","Orange-winged Parrot","Amazona amazonica","Orange-winged Amazon","orwpar","orwpar","name changed upstream"
"Amazona auropalliata_Yellow-naped Parrot","Amazona auropalliata","Yellow-naped Parrot","Amazona auropalliata","Yellow-naped Amazon","yenpar1","yenpar1","name changed upstream"
"Amazona autumnalis_Red-lored Parrot","Amazona autumnalis","Red-lored Parrot","Amazona autumnalis/lilacina","Red-lored/Lilacine Amazon","relpar","relpar","name changed upstream"
"Amazona brasiliensis_Red-tailed Parrot","Amazona brasiliensis","Red-tailed Parrot","Amazona brasiliensis","Red-tailed Amazon","retpar1","retpar1","name changed upstream"
"Amazona dufresniana_Blue-cheeked Parrot","Amazona dufresniana","Blue-cheeked Parrot","Amazona dufresniana","Blue-cheeked Amazon","blcpar2","blcpar2","name changed upstream"
"Amazona farinosa_Mealy Parrot","Amazona farinosa","Mealy Parrot","Amazona farinosa","Mealy Amazon","meapar","meapar","name changed upstream"
"Amazona festiva_Festive Parrot","Amazona festiva","Festive Parrot","Amazona festiva","Festive Amazon","fespar1","fespar1","name changed upstream"
"Amazona finschi_Lilac-crowned Parrot","Amazona finschi","Lilac-crowned Parrot","Amazona finschi","Lilac-crowned Amazon","licpar","licpar","name changed upstream"
"Amazona kawalli_Kawall's Parrot","Amazona kawalli","Kawall's Parrot","Amazona kawalli","Kawall's Amazon","kawpar1","kawpar1","name changed upstream"
"Amazona leucocephala_Cuban Parrot","Amazona leucocephala","Cuban Parrot","Amazona leucocephala","Cuban Amazon","cubpar1","cubpar1","name changed upstream"
"Amazona mercenarius_Scaly-naped Parrot","Amazona mercenarius","Scaly-naped Parrot","Amazona mercenarius","Scaly-naped Amazon","scnpar1","scnpar1","name changed upstream"
"Amazona ochrocephala_Yellow-crowned Parrot","Amazona ochrocephala","Yellow-crowned Parrot","Amazona ochrocephala","Yellow-crowned Amazon","ywcpar","ywcpar","name changed upstream"
"Amazona oratrix_Yellow-headed Parrot","Amazona oratrix","Yellow-headed Parrot","Amazona oratrix","Yellow-headed Amazon","yehpar","yehpar","name changed upstream"
"Amazona rhodocorytha_Red-browed Parrot","Amazona rhodocorytha","Red-browed Parrot","Amazona rhodocorytha","Red-browed Amazon","rebpar7","rebpar7","name changed upstream"
"Amazona tucumana_Tucuman Parrot","Amazona tucumana","Tucuman Parrot","Amazona tucumana","Tucuman Amazon","tucpar1","tucpar1","name changed upstream"
"Amazona ventralis_Hispaniolan Parrot","Amazona ventralis","Hispaniolan Parrot","Amazona ventralis","Hispaniolan Amazon","hispar1","hispar1","name changed upstream"
"Amazona vinacea_Vinaceous-breasted Parrot","Amazona vinacea","Vinaceous-breasted Parrot","Amazona vinacea","Vinaceous-breasted Amazon","vinpar1","vinpar1","name changed upstream"
"Amazona viridigenalis_Red-crowned Parrot","Amazona viridigenalis","Red-crowned Parrot","Amazona viridigenalis","Red-crowned Amazon","recpar","recpar","name changed upstream"
"Amazona xantholora_Yellow-lored Parrot","Amazona xantholora","Yellow-lored Parrot","Amazona xantholora","Yellow-lored Amazon","yelpar1","yelpar1","name changed upstream"
"Amblyornis newtoniana_Golden Bowerbird","Amblyornis newtoniana","Golden Bowerbird","Prionodura newtoniana","Golden Bowerbird","golbow1","golbow1","name changed upstream"
"Anthropoides paradiseus_Blue Crane","Anthropoides paradiseus","Blue Crane","Grus paradiseus","Blue Crane","blucra2","blucra2","name changed upstream"
"Anthropoides virgo_Demoiselle Crane","Anthropoides virgo","Demoiselle Crane","Grus virgo","Demoiselle Crane","demcra1","demcra1","name changed upstream"
"Anthus lutescens_Yellowish Pipit","Anthus lutescens","Yellowish Pipit","Anthus chii","Yellowish Pipit","yelpip2","yelpip2","name changed upstream"
"Anthus novaeseelandiae_Australasian Pipit","Anthus novaeseelandiae","Australasian Pipit","Anthus novaeseelandiae","New Zealand Pipit","auspip3","auspip3","name changed upstream"
"Antilophia bokermanni_Araripe Manakin","Antilophia bokermanni","Araripe Manakin","Chiroxiphia bokermanni","Araripe Manakin","araman1","araman1","name changed upstream"
"Antilophia galeata_Helmeted Manakin","Antilophia galeata","Helmeted Manakin","Chiroxiphia galeata","Helmeted Manakin","helman1","helman1","name changed upstream"
"Anurolimnas fasciatus_Black-banded Crake","Anurolimnas fasciatus","Black-banded Crake","Rufirallus fasciatus","Black-banded Crake","blbcra1","blbcra1","name changed upstream"
"Anurolimnas viridis_Russet-crowned Crake","Anurolimnas viridis","Russet-crowned Crake","Rufirallus viridis","Russet-crowned Crake","ruccra1","ruccra1","name changed upstream"
"Apus melba_Alpine Swift","Apus melba","Alpine Swift","Tachymarptis melba","Alpine Swift","alpswi1","alpswi1","name changed upstream"
"Ardea intermedia_Intermediate Egret","Ardea intermedia","Intermediate Egret","Ardea intermedia","Medium Egret","integr1","integr1","name changed upstream"
"Arizelocichla nigriceps_Eastern Mountain Greenbul","Arizelocichla nigriceps","Eastern Mountain Greenbul","Arizelocichla nigriceps","Black-headed Mountain Greenbul","easmog2","easmog2","name changed upstream"
"Arremon taciturnus_Pectoral Sparrow","Arremon taciturnus","Pectoral Sparrow","Arremon taciturnus","Pectoral Sparrow","pecspa1","pecspa3","code changed"
"Asthenes dorbignyi_Creamy-breasted Canastero","Asthenes dorbignyi","Creamy-breasted Canastero","Asthenes dorbignyi","Rusty-vented Canastero","crbcan1","crbcan2","code changed"
"Asthenes sclateri_Puna Canastero","Asthenes sclateri","Puna Canastero","Asthenes wyatti [sclateri Group]","Streak-backed Canastero (Puna)","puncan1","puncan1","name changed upstream"
"Atimastillas flavicollis_Yellow-throated Greenbul","Atimastillas flavicollis","Yellow-throated Greenbul","Atimastillas flavicollis","Yellow-gorgeted Greenbul","yetgre2","yetgre2","name changed upstream"
"Atlapetes latinuchus_Yellow-breasted Brushfinch","Atlapetes latinuchus","Yellow-breasted Brushfinch","Atlapetes latinuchus","Yellow-breasted Brushfinch","yebbrf1","yebbru2","code changed"
"Atlapetes schistaceus_Slaty Brushfinch","Atlapetes schistaceus","Slaty Brushfinch","Atlapetes schistaceus","Northern Slaty Brushfinch","slbfin2","slabru1","code changed"
"Atlapetes tricolor_Tricolored Brushfinch","Atlapetes tricolor","Tricolored Brushfinch","Atlapetes tricolor","Golden-crowned Brushfinch","trbfin1","tribrf2","code changed"
"Automolus ochrolaemus_Buff-throated Foliage-gleaner","Automolus ochrolaemus","Buff-throated Foliage-gleaner","Automolus ochrolaemus","Ochre-throated Foliage-gleaner","btfgle1","btfgle1","name changed upstream"
"Automolus subulatus_Striped Woodhaunter","Automolus subulatus","Striped Woodhaunter","Automolus subulatus","Eastern Woodhaunter","strwoo4","strwoo4","name changed upstream"
"Basileuterus lachrymosus_Fan-tailed Warbler","Basileuterus lachrymosus","Fan-tailed Warbler","Euthlypis lachrymosa","Fan-tailed Warbler","fatwar","fatwar","name changed upstream"
"Bleda notatus_Lesser Bristlebill","Bleda notatus","Lesser Bristlebill","Bleda notatus","Yellow-lored Bristlebill","lesbri1","lesbri1","name changed upstream"
"Botaurus stellaris_Great Bittern","Botaurus stellaris","Great Bittern","Botaurus stellaris","Eurasian Bittern","grebit1","grebit1","name changed upstream"
"Brachypodius eutilotus_Puff-backed Bulbul","Brachypodius eutilotus","Puff-backed Bulbul","Microtarsus eutilotus","Puff-backed Bulbul","pubbul1","pubbul1","name changed upstream"
"Brachypodius melanocephalos_Black-headed Bulbul","Brachypodius melanocephalos","Black-headed Bulbul","Microtarsus melanocephalos","Black-headed Bulbul","blhbul1","blhbul1","name changed upstream"
"Brachypodius melanoleucos_Black-and-white Bulbul","Brachypodius melanoleucos","Black-and-white Bulbul","Microtarsus melanoleucos","Black-and-white Bulbul","bawbul2","bawbul2","name changed upstream"
"Brachypodius priocephalus_Gray-headed Bulbul","Brachypodius priocephalus","Gray-headed Bulbul","Microtarsus priocephalus","Gray-headed Bulbul","gyhbul1","gyhbul1","name changed upstream"
"Brachypodius urostictus_Yellow-wattled Bulbul","Brachypodius urostictus","Yellow-wattled Bulbul","Microtarsus urostictus","Yellow-wattled Bulbul","yewbul1","yewbul1","name changed upstream"
"Brachypteryx montana_White-browed Shortwing","Brachypteryx montana","White-browed Shortwing","Brachypteryx montana","Javan Shortwing","whbsho10","whbsho10","name changed upstream"
"Bubo coromandus_Dusky Eagle-Owl","Bubo coromandus","Dusky Eagle-Owl","Ketupa coromanda","Dusky Eagle-Owl","dueowl1","dueowl1","name changed upstream"
"Bubo lacteus_Verreaux's Eagle-Owl","Bubo lacteus","Verreaux's Eagle-Owl","Ketupa lactea","Verreaux's Eagle-Owl","veeowl1","veeowl1","name changed upstream"
"Bubo nipalensis_Spot-bellied Eagle-Owl","Bubo nipalensis","Spot-bellied Eagle-Owl","Ketupa nipalensis","Spot-bellied Eagle-Owl","sbeowl1","sbeowl1","name changed upstream"
"Bubo sumatranus_Barred Eagle-Owl","Bubo sumatranus","Barred Eagle-Owl","Ketupa sumatrana","Barred Eagle-Owl","baeowl1","baeowl1","name changed upstream"
"Bubulcus ibis_Cattle Egret","Bubulcus ibis","Cattle Egret","Ardea ibis/coromanda","Western/Eastern Cattle-Egret","categr","categr","name changed upstream"
"Buceros vigil_Helmeted Hornbill","Buceros vigil","Helmeted Hornbill","Rhinoplax vigil","Helmeted Hornbill","helhor1","helhor1","name changed upstream"
"Buphagus erythrorynchus_Red-billed Oxpecker","Buphagus erythrorynchus","Red-billed Oxpecker","Buphagus erythroryncha","Red-billed Oxpecker","reboxp1","reboxp1","name changed upstream"
"Burhinus bistriatus_Double-striped Thick-knee","Burhinus bistriatus","Double-striped Thick-knee","Hesperoburhinus bistriatus","Double-striped Thick-knee","dstkne","dstkne","name changed upstream"
"Burhinus superciliaris_Peruvian Thick-knee","Burhinus superciliaris","Peruvian Thick-knee","Hesperoburhinus superciliaris","Peruvian Thick-knee","petkne1","petkne1","name changed upstream"
"Butorides striata_Striated Heron","Butorides striata","Striated Heron","Butorides striata","Striated Heron","strher","strher2","code changed"
"Cacatua ducorpsii_Ducorps's Cockatoo","Cacatua ducorpsii","Ducorps's Cockatoo","Cacatua ducorpsii","Solomons Corella","duccoc1","duccoc1","name changed upstream"
"Cacomantis leucolophus_White-crowned Koel","Cacomantis leucolophus","White-crowned Koel","Caliechthrus leucolophus","White-crowned Cuckoo","whckoe1","whckoe1","name changed upstream"
"Cacomantis pallidus_Pallid Cuckoo","Cacomantis pallidus","Pallid Cuckoo","Heteroscenes pallidus","Pallid Cuckoo","palcuc1","palcuc1","name changed upstream"
"Cacomantis variolosus_Brush Cuckoo","Cacomantis variolosus","Brush Cuckoo","Cacomantis variolosus","Sahul Brush Cuckoo","brucuc3","brucuc3","name changed upstream"
"Calendulauda alopex_Foxy Lark","Calendulauda alopex","Foxy Lark","Calendulauda africanoides alopex/intercedens","Fawn-colored Lark (Foxy)","foxlar1","foxlar1","name changed upstream"
"Calocitta colliei_Black-throated Magpie-Jay","Calocitta colliei","Black-throated Magpie-Jay","Cyanocorax colliei","Black-throated Magpie-Jay","btmjay","btmjay","name changed upstream"
"Calocitta formosa_White-throated Magpie-Jay","Calocitta formosa","White-throated Magpie-Jay","Cyanocorax formosus","White-throated Magpie-Jay","wtmjay1","wtmjay1","name changed upstream"
"Calonectris diomedea_Cory's Shearwater","Calonectris diomedea","Cory's Shearwater","Calonectris borealis/diomedea","Cory's/Scopoli's Shearwater","corshe","corshe","name changed upstream"
"Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo","Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo","Zanda funerea","Yellow-tailed Black-Cockatoo","ytbcoc1","ytbcoc1","name changed upstream"
"Calyptorhynchus latirostris_Carnaby's Black-Cockatoo","Calyptorhynchus latirostris","Carnaby's Black-Cockatoo","Zanda latirostris","Carnaby's Black-Cockatoo","slbblc1","slbblc1","name changed upstream"
"Campethera cailliautii_Green-backed Woodpecker","Campethera cailliautii","Green-backed Woodpecker","Campethera maculosa","Green-backed Woodpecker","grbwoo2","grbwoo2","name changed upstream"
"Campylorhynchus rufinucha_Rufous-naped Wren","Campylorhynchus rufinucha","Rufous-naped Wren","Campylorhynchus rufinucha","Veracruz Wren","runwre2","runwre2","name changed upstream"
"Caprimulgus nigriscapularis_Black-shouldered Nightjar","Caprimulgus nigriscapularis","Black-shouldered Nightjar","Caprimulgus pectoralis nigriscapularis","Fiery-necked Nightjar (Black-shouldered)","bksnig1","bksnig1","name changed upstream"
"Caprimulgus poliocephalus_Abyssinian Nightjar","Caprimulgus poliocephalus","Abyssinian Nightjar","Caprimulgus poliocephalus poliocephalus","Montane Nightjar (Abyssinian)","abynig1","abynig1","name changed upstream"
"Cecropis daurica_Red-rumped Swallow","Cecropis daurica","Red-rumped Swallow","Cecropis rufula/melanocrissus/daurica","European/African/Eastern Red-rumped Swallow","rerswa1","rerswa1","name changed upstream"
"Cecropis striolata_Striated Swallow","Cecropis striolata","Striated Swallow","Cecropis daurica [striolata Group]","Eastern Red-rumped Swallow (Striated)","strswa2","strswa2","name changed upstream"
"Celeus grammicus_Scale-breasted Woodpecker","Celeus grammicus","Scale-breasted Woodpecker","Celeus undatus [grammicus Group]","Waved Woodpecker (Scale-breasted)","scbwoo5","scbwoo5","name changed upstream"
"Cercotrichas barbata_Miombo Scrub-Robin","Cercotrichas barbata","Miombo Scrub-Robin","Tychaedon barbata","Miombo Scrub-Robin","misrob1","misrob1","name changed upstream"
"Cercotrichas coryphoeus_Karoo Scrub-Robin","Cercotrichas coryphoeus","Karoo Scrub-Robin","Tychaedon coryphoeus","Karoo Scrub-Robin","kasrob2","kasrob2","name changed upstream"
"Cercotrichas leucophrys_Red-backed Scrub-Robin","Cercotrichas leucophrys","Red-backed Scrub-Robin","Cercotrichas leucophrys","White-browed Scrub-Robin","rbsrob1","rbsrob1","name changed upstream"
"Cercotrichas quadrivirgata_Bearded Scrub-Robin","Cercotrichas quadrivirgata","Bearded Scrub-Robin","Tychaedon quadrivirgata","Bearded Scrub-Robin","besrob1","besrob1","name changed upstream"
"Cercotrichas signata_Brown Scrub-Robin","Cercotrichas signata","Brown Scrub-Robin","Tychaedon signata","Brown Scrub-Robin","brsrob1","brsrob1","name changed upstream"
"Charadrius alexandrinus_Kentish Plover","Charadrius alexandrinus","Kentish Plover","Anarhynchus alexandrinus","Kentish Plover","kenplo1","kenplo1","name changed upstream"
"Charadrius bicinctus_Double-banded Plover","Charadrius bicinctus","Double-banded Plover","Anarhynchus bicinctus","Double-banded Plover","dobplo1","dobplo1","name changed upstream"
"Charadrius collaris_Collared Plover","Charadrius collaris","Collared Plover","Anarhynchus collaris","Collared Plover","colplo1","colplo1","name changed upstream"
"Charadrius dubius_Little Ringed Plover","Charadrius dubius","Little Ringed Plover","Thinornis dubius","Little Ringed Plover","lirplo","lirplo","name changed upstream"
"Charadrius falklandicus_Two-banded Plover","Charadrius falklandicus","Two-banded Plover","Anarhynchus falklandicus","Two-banded Plover","twbplo1","twbplo1","name changed upstream"
"Charadrius javanicus_Javan Plover","Charadrius javanicus","Javan Plover","Anarhynchus javanicus","Javan Plover","javplo1","javplo1","name changed upstream"
"Charadrius leschenaultii_Greater Sand-Plover","Charadrius leschenaultii","Greater Sand-Plover","Anarhynchus leschenaultii","Greater Sand-Plover","grsplo","grsplo","name changed upstream"
"Charadrius modestus_Rufous-chested Dotterel","Charadrius modestus","Rufous-chested Dotterel","Zonibyx modestus","Rufous-chested Dotterel","rucdot1","rucdot1","name changed upstream"
"Charadrius mongolus_Lesser Sand-Plover","Charadrius mongolus","Lesser Sand-Plover","Anarhynchus mongolus/atrifrons","Siberian/Tibetan Sand-Plover","lesplo","lesplo","name changed upstream"
"Charadrius montanus_Mountain Plover","Charadrius montanus","Mountain Plover","Anarhynchus montanus","Mountain Plover","mouplo","mouplo","name changed upstream"
"Charadrius morinellus_Eurasian Dotterel","Charadrius morinellus","Eurasian Dotterel","Eudromias morinellus","Eurasian Dotterel","eurdot","eurdot","name changed upstream"
"Charadrius nivosus_Snowy Plover","Charadrius nivosus","Snowy Plover","Anarhynchus nivosus","Snowy Plover","snoplo5","snoplo5","name changed upstream"
"Charadrius peronii_Malaysian Plover","Charadrius peronii","Malaysian Plover","Anarhynchus peronii","Malaysian Plover","malplo1","malplo1","name changed upstream"
"Charadrius placidus_Long-billed Plover","Charadrius placidus","Long-billed Plover","Thinornis placidus","Long-billed Plover","lobplo1","lobplo1","name changed upstream"
"Charadrius tricollaris_Three-banded Plover","Charadrius tricollaris","Three-banded Plover","Thinornis tricollaris","Three-banded Plover","thbplo1","thbplo1","name changed upstream"
"Charadrius veredus_Oriental Plover","Charadrius veredus","Oriental Plover","Anarhynchus veredus","Oriental Plover","oriplo1","oriplo1","name changed upstream"
"Charadrius wilsonia_Wilson's Plover","Charadrius wilsonia","Wilson's Plover","Anarhynchus wilsonia","Wilson's Plover","wilplo","wilplo","name changed upstream"
"Charmosyna papou_Papuan Lorikeet","Charmosyna papou","Papuan Lorikeet","Charmosyna papou","West Papuan Lorikeet","paplor1","paplor1","name changed upstream"
"Chlorophonia musica_Antillean Euphonia","Chlorophonia musica","Antillean Euphonia","Chlorophonia musica","Hispaniolan Euphonia","anteup2","anteup2","name changed upstream"
"Chloropicus fuscescens_Cardinal Woodpecker","Chloropicus fuscescens","Cardinal Woodpecker","Dendropicos fuscescens","Cardinal Woodpecker","carwoo1","carwoo1","name changed upstream"
"Chloropicus goertae_African Gray Woodpecker","Chloropicus goertae","African Gray Woodpecker","Dendropicos goertae","African Gray Woodpecker","grywoo1","grywoo1","name changed upstream"
"Chloropicus griseocephalus_Olive Woodpecker","Chloropicus griseocephalus","Olive Woodpecker","Dendropicos griseocephalus","Olive Woodpecker","oliwoo2","oliwoo2","name changed upstream"
"Chloropicus spodocephalus_Mountain Gray Woodpecker","Chloropicus spodocephalus","Mountain Gray Woodpecker","Dendropicos spodocephalus","Mountain Gray Woodpecker","gyhwoo1","gyhwoo1","name changed upstream"
"Chloropsis cochinchinensis_Blue-winged Leafbird","Chloropsis cochinchinensis","Blue-winged Leafbird","Chloropsis moluccensis","Blue-winged Leafbird","blwlea1","blwlea1","name changed upstream"
"Cholornis unicolor_Brown Parrotbill","Cholornis unicolor","Brown Parrotbill","Paradoxornis unicolor","Brown Parrotbill","bropar1","bropar1","name changed upstream"
"Chrysococcyx basalis_Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","Horsfield's Bronze-Cuckoo","Chalcites basalis","Horsfield's Bronze-Cuckoo","hobcuc1","hobcuc1","name changed upstream"
"Chrysococcyx lucidus_Shining Bronze-Cuckoo","Chrysococcyx lucidus","Shining Bronze-Cuckoo","Chalcites lucidus","Shining Bronze-Cuckoo","shbcuc1","shbcuc1","name changed upstream"
"Chrysococcyx minutillus_Little Bronze-Cuckoo","Chrysococcyx minutillus","Little Bronze-Cuckoo","Chalcites minutillus","Little Bronze-Cuckoo","libcuc1","libcuc1","name changed upstream"
"Chrysococcyx osculans_Black-eared Cuckoo","Chrysococcyx osculans","Black-eared Cuckoo","Chalcites osculans","Black-eared Cuckoo","blecuc1","blecuc1","name changed upstream"
"Ciccaba albitarsis_Rufous-banded Owl","Ciccaba albitarsis","Rufous-banded Owl","Strix albitarsis","Rufous-banded Owl","rubowl3","rubowl3","name changed upstream"
"Ciccaba huhula_Black-banded Owl","Ciccaba huhula","Black-banded Owl","Strix huhula","Black-banded Owl","bkbowl1","bkbowl1","name changed upstream"
"Ciccaba nigrolineata_Black-and-white Owl","Ciccaba nigrolineata","Black-and-white Owl","Strix nigrolineata","Black-and-white Owl","bawowl1","bawowl1","name changed upstream"
"Ciccaba virgata_Mottled Owl","Ciccaba virgata","Mottled Owl","Strix virgata","Mottled Owl","motowl","motowl","name changed upstream"
"Cicinnurus magnificus_Magnificent Bird-of-Paradise","Cicinnurus magnificus","Magnificent Bird-of-Paradise","Diphyllodes magnificus","Magnificent Bird-of-Paradise","mbopar2","mbopar2","name changed upstream"
"Cicinnurus respublica_Wilson's Bird-of-Paradise","Cicinnurus respublica","Wilson's Bird-of-Paradise","Diphyllodes respublica","Wilson's Bird-of-Paradise","wbopar1","wbopar1","name changed upstream"
"Cinnyris habessinicus_Shining Sunbird","Cinnyris habessinicus","Shining Sunbird","Cinnyris habessinicus","Abyssinian Sunbird","shisun3","shisun3","name changed upstream"
"Cinnyris jugularis_Olive-backed Sunbird","Cinnyris jugularis","Olive-backed Sunbird","Cinnyris ornatus","Ornate Sunbird","olbsun4","olbsun4","name changed upstream"
"Cinnyris mariquensis_Mariqua Sunbird","Cinnyris mariquensis","Mariqua Sunbird","Cinnyris mariquensis","Marico Sunbird","marsun2","marsun2","name changed upstream"
"Cinnyris talatala_White-breasted Sunbird","Cinnyris talatala","White-breasted Sunbird","Cinnyris talatala","White-bellied Sunbird","whbsun2","whbsun2","name changed upstream"
"Circus aeruginosus_Eurasian Marsh-Harrier","Circus aeruginosus","Eurasian Marsh-Harrier","Circus aeruginosus","Western Marsh Harrier","wemhar1","wemhar1","name changed upstream"
"Circus spilonotus_Eastern Marsh-Harrier","Circus spilonotus","Eastern Marsh-Harrier","Circus spilonotus","Eastern Marsh Harrier","easmah1","easmah1","name changed upstream"
"Cisticola subruficapilla_Red-headed Cisticola","Cisticola subruficapilla","Red-headed Cisticola","Cisticola subruficapilla","Gray-backed Cisticola","rehcis2","rehcis2","name changed upstream"
"Clytolaema rubricauda_Brazilian Ruby","Clytolaema rubricauda","Brazilian Ruby","Heliodoxa rubricauda","Brazilian Ruby","brarub1","brarub1","name changed upstream"
"Cnemoscopus rubrirostris_Gray-hooded Bush Tanager","Cnemoscopus rubrirostris","Gray-hooded Bush Tanager","Cnemoscopus rubrirostris/chrysogaster","Pink-billed/Black-billed Cnemoscopus","gyhbut1","gyhbut1","name changed upstream"
"Coccothraustes abeillei_Hooded Grosbeak","Coccothraustes abeillei","Hooded Grosbeak","Hesperiphona abeillei","Hooded Grosbeak","hoogro1","hoogro1","name changed upstream"
"Coccothraustes vespertinus_Evening Grosbeak","Coccothraustes vespertinus","Evening Grosbeak","Hesperiphona vespertina","Evening Grosbeak","evegro","evegro","name changed upstream"
"Colluricincla megarhyncha_Arafura Shrikethrush","Colluricincla megarhyncha","Arafura Shrikethrush","Colluricincla megarhyncha [megarhyncha Group]","Little Shrikethrush (Arafura)","rufsht2","rufsht2","name changed upstream"
"Colluricincla rufogaster_Rufous Shrikethrush","Colluricincla rufogaster","Rufous Shrikethrush","Colluricincla megarhyncha [rufogaster Group]","Little Shrikethrush (Rufous)","litshr2","litshr2","name changed upstream"
"Columba delegorguei_Delegorgue's Pigeon","Columba delegorguei","Delegorgue's Pigeon","Columba delegorguei","Eastern Bronze-naped Pigeon","delpig1","delpig1","name changed upstream"
"Columba iriditorques_Bronze-naped Pigeon","Columba iriditorques","Bronze-naped Pigeon","Columba iriditorques","Western Bronze-naped Pigeon","brnpig1","brnpig1","name changed upstream"
"Columba janthina_Japanese Wood-Pigeon","Columba janthina","Japanese Wood-Pigeon","Columba janthina","Black Wood-Pigeon","jawpig1","jawpig1","name changed upstream"
"Columba larvata_Lemon Dove","Columba larvata","Lemon Dove","Aplopelia larvata","Lemon Dove","lemdov2","lemdov2","name changed upstream"
